Nazwa;telefon;Adres;Rodzaj;Dzielnica;Okolica;Na wynos;Ocena;Rodzaje kuchni;Okazja;Specjalne Dania;Specjalne Menu;Udogodnienia osobiste;Alkohol;Rozrywka;Dodatki;0
Manga Sushi;22 665 10 00;Szobera 5/8;Restauracja;Bemowo;Jelonki Pó³nocne;Dostawa do domu,Dostêpna opcja na wynos;4;Japoñska;;;;Przyjazne dzieciom;Pe³ny bar;;Wifi;0
La Fiaccola;22 252 08 43;Górczewska 200a;Restauracja;Bemowo;Górce;Dostawa do domu,Dostêpna opcja na wynos;4;W³oska;;;;Przyjazne dzieciom,Dla niepe³nosprawnych,Przyjazne zwierzêtom;Pe³ny bar;Sport;Wifi;0
Krasnodwór;22 666 94 84;Kocjana 70;Eksluzywna Restauracja;Bemowo;Groty;;5;Polska, Œródziemnomorska;kolacja we dwoje;;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;;Wifi;0
Versilia;22 307 36 82;Powstañców Œl¹skich 126A;Restauracja;Bemowo;Fort Bema;;4;W³oska,Polska;;;;Przyjazne dzieciom;Pe³ny bar;Sport;Wifi;0
Sao Bang;22 245 35 93;Po³czyñska 53;Szybkie jedzenie;Bemowo;Jelonki Po³udniowe;Dostawa do domu,Dostêpna opcja na wynos;3;Wietnamska, Polska, Azjatycka;;;;;;;;0
Smaki Wschodu;48535147777;Powstañców Œl¹skich 106 lok. 13;Restauracja;Bemowo;Bemowo Lotnisko;Dostawa do domu,Dostêpna opcja na wynos;3;Chiñska, Wietnamska;;;Menu lunchowe;Dla niepe³nosprawnych,Przyjazne zwierzêtom;;;Wifi;0
Restauracja Grodzka;22 328 60 52;Kocjana 3;Restauracja;Bemowo;Fort Radiowo;;;Polska;;;;Przyjazne dzieciom;Piwo;Sport;Wifi;0
Biesiadowo;22 241 37 16;gen. Meriana Coopera 12G/5;Szybkie jedzenie;Bemowo;Chrzanów;Dostawa do domu,Dostêpna opcja na wynos;4;Fast-Food;;;;Przyjazne dzieciom;;;Wifi;0
Nam Sajgon;48880633985;Marywilska 44;Szybkie jedzenie;Bia³o³êka;¯erañ;;2;Wietnamska, Tajska, Chiñska;;;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;;Wifi;0
Bosko W³osko;48533849849;Tapetowa 12;Restauracja;Bia³o³êka;Choszczówka;Dostawa do domu,Dostêpna opcja na wynos;2;W³oska, Fast-Food;;;;;Pe³ny bar;;;0
Souvlak City & Truck;48531534904;Skarbka z Gór 51A;Szybkie jedzenie;Bia³o³êka;Grodzisk;Dostawa do domu,Dostêpna opcja na wynos;4;Grecka;;;;;;;;0
Szkutnia;22 741 71 37;Kobia³ka 48A;Restauracja;Bia³o³êka;Kobia³ka;Dostawa do domu,Dostêpna opcja na wynos;4;W³oska,Fast-Food;;;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Muzyka na ¿ywo;Wifi;0
Gospoda Zbójnicka;22 889 55 01;Mehoffera 68D;Restauracja;Bia³o³êka;Tarchomin;Dostawa do domu,Dostêpna opcja na wynos;4;Polska;;;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Sport;Wifi;0
Oregano;48503606255;Bohaterów 14;Restauracja;Bia³o³êka;Bia³o³êka Dworska;Dostêpna opcja na wynos;5;W³oska;;;;;Pe³ny bar;;Ogródek;0
Bak³a¿an;48730307570;Conrada 15A;Restauracja;Bielany;Chomiczówka;Dostêpna opcja na wynos;4;W³oska,Polska;Œniadanie;Bezglutenu;Menu lunchowe;Przyjazne dzieciom;Wino i Piwo;Gry Planszowe;Ogródek,Wifi;0
